id,label
tanques,tanques
digestãar,digestãar
farinha,farinha
cinza,cinza
invasão,invasão
confiança,confiança
arborização,arborização
silício,silício
embrionário,embrionário
confinar,confinar
cristalino,cristalino
hormonal,hormonal
aviário,aviário
subséssel,subséssel
toxidez,toxidez
verme,verme
contrair,contrair
gramíneo,gramíneo
antibiótico,antibiótico
coloração,coloração
ruziziensil,ruziziensil
saginatar,saginatar
trincheira,trincheira
consumir,consumir
partícula,partícula
estábulo,estábulo
alagamento,alagamento
treinamento,treinamento
sequenciamento,sequenciamento
granulado,granulado
hábito,hábito
agente,agente
parede,parede
subereta,subereta
profissional,profissional
estiagem,estiagem
reter,reter
ossaturo,ossaturo
genômica,genômica
sanguíneo,sanguíneo
ferramenta,ferramenta
técnico,técnico
uterino,uterino
molécula,molécula
pomada,pomada
eletroejaculação,eletroejaculação
terapêutico,terapêutico
genotipar,genotipar
restinga,restinga
demora,demora
ovo,ovo
hipoclorito,hipoclorito
serragem,serragem
seringa,seringa
médico,médico
prenhe,prenhe
obesidade,obesidade
cerco,cerco
cortisol,cortisol
esporo,esporo
protease,protease
pássaro,pássaro
subtropical,subtropical
raça,raça
botijo,botijo
graxo,graxo
interferir,interferir
eucalipto,eucalipto
bactéria,bactéria
haste,haste
coletora,coletora
forragear,forragear
cartilagem,cartilagem
cortado,cortado
cancerígeno,cancerígeno
infestações,infestações
medida,medida
naturalizar,naturalizar
hematófago,hematófago
tuberculinização,tuberculinização
salobra,salobra
dedo,dedo
funcionar,funcionar
humificação,humificação
fervente,fervente
vermar,vermar
decompor,decompor
esperar,esperar
desaleitar,desaleitar
homeopático,homeopático
sulfurados,sulfurados
dictioneura,dictioneura
máquina,máquina
sanitizar,sanitizar
leporino,leporino
lavar,lavar
oferecer,oferecer
cortar,cortar
berne,berne
telar,telar
doméstico,doméstico
citômetro,citômetro
frágil,frágil
tenra,tenra
sadio,sadio
maternidade,maternidade
sintetizar,sintetizar
brilho,brilho
urease,urease
doença,doença
eclosão,eclosão
material,material
fenação,fenação
segregação,segregação
topografia,topografia
etiológico,etiológico
glândula,glândula
manteiga,manteiga
prostaglandina,prostaglandina
aureus,aureus
norsesquiterpeno,norsesquiterpeno
infeccioso,infeccioso
gelo,gelo
mililitro,mililitro
óvulo,óvulo
perda,perda
umbilical,umbilical
tristeza,tristeza
coler,coler
ressecamento,ressecamento
risco,risco
leito,leito
toxina,toxina
tijolo,tijolo
canaleta,canaleta
enxadão,enxadão
epitelial,epitelial
aparelho,aparelho
mecânico,mecânico
roupa,roupa
abate,abate
desoxirribonucleico,desoxirribonucleico
precoce,precoce
decumbente,decumbente
serpentina,serpentina
antisséptico,antisséptico
mãe,mãe
alto,alto
barbela,barbela
máximo,máximo
pasta,pasta
tolerância,tolerância
estereotipia,estereotipia
portão,portão
desinteresse,desinteresse
magnesiano,magnesiano
coçar,coçar
florescimento,florescimento
vapor,vapor
caule,caule
sensibilidade,sensibilidade
corticosteroide,corticosteroide
industrialização,industrialização
andrológico,andrológico
sphacelatar,sphacelatar
diarrear,diarrear
regra,regra
diferir,diferir
hemoglobinúria,hemoglobinúria
gayana,gayana
desagradável,desagradável
biomassa,biomassa
bolsa,bolsa
lesão,lesão
tóxico,tóxico
agressivo,agressivo
gelificação,gelificação
contaminar,contaminar
calcinado,calcinado
traumático,traumático
queijo,queijo
buçal,buçal
sonda,sonda
calcário,calcário
fêmea,fêmea
médio,médio
canavial,canavial
cloreto,cloreto
decumbem,decumbem
demorar,demorar
descartar,descartar
guianesil,guianesil
cultura,cultura
tetania,tetania
secretor,secretor
vedação,vedação
mecanismo,mecanismo
populaçãar,populaçãar
hereditário,hereditário
físico,físico
capilar,capilar
butírico,butírico
nutrientes,nutrientes
foxtail,foxtail
aerada,aerada
terreno,terreno
refrigerar,refrigerar
tubulação,tubulação
tecidos,tecidos
manual,manual
acessar,acessar
pote,pote
caixa,caixa
nutritivo,nutritivo
automatizar,automatizar
fatal,fatal
cobrir,cobrir
cru,cru
mamária,mamária
sistema,sistema
raspar,raspar
soroterapia,soroterapia
malha,malha
homeopater,homeopater
babosa,babosa
muco,muco
anaeróbio,anaeróbio
genótipo,genótipo
infraestrutura,infraestrutura
lactente,lactente
gorduroso,gorduroso
lodo,lodo
anaplasmose,anaplasmose
coração,coração
meloso,meloso
pescoço,pescoço
sanitário,sanitário
casa,casa
ressemeadura,ressemeadura
folicular,folicular
tristezar,tristezar
carbonato,carbonato
compostagem,compostagem
tampão,tampão
anticorpo,anticorpo
cítrico,cítrico
fosfato,fosfato
tecido,tecido
protozoário,protozoário
bezerro,bezerro
vício,vício
diarreia,diarreia
braquiara,braquiara
capim,capim
população,população
gaiola,gaiola
injetável,injetável
energético,energético
patogênico,patogênico
aferição,aferição
húmu,húmu
peniano,peniano
rendimento,rendimento
dilatar,dilatar
prurir,prurir
face,face
patógeno,patógeno
detenção,detenção
inseto,inseto
seleno,seleno
aspersor,aspersor
desânimo,desânimo
desmame,desmame
lagoa,lagoa
cama,cama
acidose,acidose
mitocondrial,mitocondrial
ataque,ataque
leucena,leucena
tumor,tumor
proteico,proteico
somático,somático
concentrado,concentrado
hominivorax,hominivorax
metal,metal
acidificar,acidificar
lisa,lisa
reincidência,reincidência
abomaso,abomaso
solúvel,solúvel
panicum,panicum
herança,herança
choque,choque
sucedâneo,sucedâneo
estaçãar,estaçãar
antitóxico,antitóxico
artificial,artificial
solubilizados,solubilizados
embarcadouro,embarcadouro
colorir,colorir
alcalinidade,alcalinidade
entrada,entrada
mosca,mosca
volumoso,volumoso
iodofórmio,iodofórmio
bomba,bomba
reidrata,reidrata
insumo,insumo
sulco,sulco
nuclear,nuclear
cabeça,cabeça
quente,quente
palatabilidade,palatabilidade
endovenoso,endovenoso
nutricional,nutricional
ácer,ácer
cova,cova
espécie,espécie
sulfúrico,sulfúrico
aquífero,aquífero
cobre,cobre
erradicar,erradicar
cor,cor
infecção,infecção
fluxo,fluxo
paciência,paciência
vegetar,vegetar
gêmeo,gêmeo
tanchagem,tanchagem
estolão,estolão
argamassa,argamassa
alizarina,alizarina
adiabático,adiabático
transfusão,transfusão
declive,declive
antibiose,antibiose
elétrica,elétrica
nervoso,nervoso
creme,creme
portadora,portadora
florescer,florescer
flúor,flúor
testar,testar
silo,silo
abundante,abundante
espécies,espécies
ciclo,ciclo
ácido,ácido
equino,equino
mosquicidar,mosquicidar
mamário,mamário
poroso,poroso
anestro,anestro
condensar,condensar
reagente,reagente
pelar,pelar
debilitar,debilitar
palhoso,palhoso
erva,erva
captura,captura
pastagem,pastagem
durabilidade,durabilidade
extração,extração
colibacilose,colibacilose
rasteira,rasteira
infectante,infectante
sombritar,sombritar
maximização,maximização
biossólido,biossólido
perfilhamento,perfilhamento
spraying,spraying
cordiforme,cordiforme
gel,gel
samambaia,samambaia
bacteriano,bacteriano
fibra,fibra
higiênico,higiênico
estimulante,estimulante
progesterona,progesterona
ave,ave
imobilizar,imobilizar
fácil,fácil
esterco,esterco
seivar,seivar
açúcar,açúcar
evaporação,evaporação
rizomatoso,rizomatoso
imunidade,imunidade
óxido,óxido
spray,spray
terapia,terapia
antialérgico,antialérgico
metabólico,metabólico
escuro,escuro
digestão,digestão
magro,magro
grão,grão
carga,carga
reciclagem,reciclagem
cérebro,cérebro
azebuados,azebuados
estufamento,estufamento
sofrimento,sofrimento
enxofrar,enxofrar
cajan,cajan
potável,potável
salinidade,salinidade
laboratório,laboratório
retal,retal
fungo,fungo
locomotor,locomotor
doente,doente
presença,presença
seco,seco
cheiro,cheiro
camomila,camomila
diferem,diferem
multiestrato,multiestrato
salobrar,salobrar
semiáridar,semiáridar
pedaço,pedaço
tecnificação,tecnificação
prolapso,prolapso
paratifo,paratifo
plástico,plástico
levedura,levedura
dominância,dominância
roçar,roçar
ereta,ereta
manga,manga
dimensionamento,dimensionamento
coágulo,coágulo
ginecológico,ginecológico
pesticidar,pesticidar
microbiano,microbiano
vitamina,vitamina
corporal,corporal
neoplasia,neoplasia
pubescem,pubescem
enzima,enzima
doador,doador
libido,libido
pesar,pesar
espáduo,espáduo
régua,régua
acidente,acidente
amarelar,amarelar
gramínea,gramínea
íom,íom
bicheira,bicheira
celular,celular
bovil,bovil
rebanhar,rebanhar
térmica,térmica
teor,teor
hematúria,hematúria
transgenia,transgenia
regime,regime
ventilar,ventilar
larval,larval
queimada,queimada
ingrediente,ingrediente
água,água
silagem,silagem
obtençãar,obtençãar
calopogônio,calopogônio
papelão,papelão
nlemfuensil,nlemfuensil
objetivo,objetivo
empacotamento,empacotamento
cansaço,cansaço
urinar,urinar
casco,casco
maturar,maturar
vetor,vetor
dessecação,dessecação
lado,lado
vacina,vacina
perna,perna
clorar,clorar
cápsula,cápsula
corrimento,corrimento
fator,fator
suplemento,suplemento
coccidiose,coccidiose
solubilidade,solubilidade
mutante,mutante
imunológico,imunológico
babar,babar
purulento,purulento
quarentena,quarentena
suplementar,suplementar
corrente,corrente
transgênico,transgênico
inundação,inundação
pasteurizado,pasteurizado
fósforo,fósforo
neutralizar,neutralizar
aniônica,aniônica
parto,parto
sintomático,sintomático
bovino,bovino
espermatogênese,espermatogênese
artrópode,artrópode
simulação,simulação
carrapaticida,carrapaticida
cérvix,cérvix
aquecedor,aquecedor
terço,terço
caprino,caprino
aguar,aguar
emagrecer,emagrecer
genoma,genoma
veranico,veranico
subclínica,subclínica
teta,teta
ficha,ficha
desmembrar,desmembrar
membrana,membrana
semiáspero,semiáspero
predador,predador
fluido,fluido
pata,pata
ácidos,ácidos
agulha,agulha
secreção,secreção
descornar,descornar
madeira,madeira
medir,medir
clínico,clínico
higiênica,higiênica
chartarum,chartarum
tanque,tanque
tecer,tecer
feto,feto
parasitando,parasitando
bernes,bernes
temperatura,temperatura
estimular,estimular
masculino,masculino
integração,integração
subclínico,subclínico
leiteiro,leiteiro
frieira,frieira
lei,lei
portador,portador
fasciolose,fasciolose
molécular,molécular
invasor,invasor
hidrogênio,hidrogênio
combustível,combustível
cruzamento,cruzamento
boca,boca
colônia,colônia
rim,rim
espermático,espermático
luz,luz
nutricionista,nutricionista
carroça,carroça
descongelar,descongelar
ruminante,ruminante
rançoso,rançoso
ferrugem,ferrugem
babesiose,babesiose
prostrar,prostrar
calcítico,calcítico
gradagem,gradagem
papeira,papeira
urinário,urinário
gigante,gigante
manganês,manganês
distúrbio,distúrbio
lona,lona
teteira,teteira
humano,humano
cupim,cupim
nutrir,nutrir
novilha,novilha
procurar,procurar
macega,macega
aureu,aureu
úmido,úmido
permanente,permanente
motivo,motivo
principal,principal
iodar,iodar
pressãar,pressãar
membro,membro
digestivo,digestivo
citoplasma,citoplasma
mineral,mineral
larva,larva
densidade,densidade
colmo,colmo
manipulação,manipulação
inibidor,inibidor
entrar,entrar
arbóreo,arbóreo
regador,regador
tratamento,tratamento
basar,basar
bater,bater
féter,féter
estreptococo,estreptococo
necropsia,necropsia
radicante,radicante
alga,alga
obstétrico,obstétrico
bactericida,bactericida
limpar,limpar
cimento,cimento
bastão,bastão
herbácea,herbácea
acupuntura,acupuntura
misturador,misturador
pelagem,pelagem
recolher,recolher
tricros,tricros
músculo,músculo
calor,calor
vitalidade,vitalidade
guzer,guzer
piquete,piquete
glabra,glabra
mamadeira,mamadeira
cisto,cisto
estolonífera,estolonífera
planejamento,planejamento
termofílica,termofílica
braquiaro,braquiaro
bicálcico,bicálcico
vermifugação,vermifugação
combate,combate
heterose,heterose
ruminal,ruminal
nebulização,nebulização
mensal,mensal
semiconfinamento,semiconfinamento
ovino,ovino
nematoide,nematoide
isolante,isolante
palatável,palatável
vaginal,vaginal
ordenha,ordenha
raiz,raiz
excesso,excesso
baia,baia
desinfetantes,desinfetantes
aminar,aminar
diluição,diluição
ciliaril,ciliaril
psicrotrófica,psicrotrófica
mosco,mosco
junta,junta
rasqueadeir,rasqueadeir
braquiária,braquiária
pálida,pálida
poeira,poeira
perder,perder
aproveitamento,aproveitamento
magra,magra
miúdo,miúdo
liber,liber
peniana,peniana
touceira,touceira
vegetal,vegetal
colhedeira,colhedeira
deslocamento,deslocamento
dossel,dossel
operar,operar
gestação,gestação
ar,ar
auxiliar,auxiliar
morte,morte
peladeira,peladeira
metacercária,metacercária
geada,geada
rama,rama
condensatu,condensatu
articulação,articulação
rodízio,rodízio
seiva,seiva
financeiro,financeiro
pancadar,pancadar
vacinar,vacinar
irmão,irmão
herbáceo,herbáceo
tuberculose,tuberculose
endereço,endereço
excreção,excreção
morno,morno
salgar,salgar
parasitose,parasitose
homeopatia,homeopatia
diluir,diluir
cirurgia,cirurgia
casca,casca
sintoma,sintoma
chuva,chuva
forragem,forragem
borrifada,borrifada
endereçar,endereçar
guzerá,guzerá
hábitat,hábitat
adocicar,adocicar
pintoi,pintoi
perímetro,perímetro
secretar,secretar
macroelemento,macroelemento
inoculação,inoculação
pneumoenterite,pneumoenterite
enfermidade,enfermidade
replantio,replantio
papo,papo
sede,sede
cânula,cânula
tripsina,tripsina
chorumar,chorumar
nitrogenadar,nitrogenadar
fazendeiro,fazendeiro
forrageiro,forrageiro
contagioso,contagioso
adubar,adubar
apodrecimento,apodrecimento
perene,perene
vegetação,vegetação
dieta,dieta
molibdênio,molibdênio
dor,dor
vermifugar,vermifugar
plantar,plantar
lamber,lamber
carrapaticidar,carrapaticidar
coproduto,coproduto
mamar,mamar
circulação,circulação
morcego,morcego
parasitar,parasitar
penduloso,penduloso
respiratório,respiratório
terraço,terraço
tatuagem,tatuagem
plantio,plantio
intestino,intestino
afetar,afetar
pano,pano
brasilense,brasilense
lácteo,lácteo
celulase,celulase
componente,componente
coqueiro,coqueiro
febre,febre
latão,latão
nitrogenada,nitrogenada
desinfecçãar,desinfecçãar
oócito,oócito
borracha,borracha
decomposiçãar,decomposiçãar
lançar,lançar
praga,praga
pancreática,pancreática
eimeriose,eimeriose
citratar,citratar
inchar,inchar
sulfô,sulfô
reprodutivo,reprodutivo
endoparasita,endoparasita
mamite,mamite
vitro,vitro
guandu,guandu
lembrar,lembrar
fertirrigação,fertirrigação
mucunoide,mucunoide
argiluviação,argiluviação
broto,broto
líquido,líquido
bota,bota
regrar,regrar
garantir,garantir
proliferação,proliferação
desmamar,desmamar
erosão,erosão
gesso,gesso
bivitelino,bivitelino
digestível,digestível
reprodutor,reprodutor
desidratação,desidratação
emagreceu,emagreceu
embrião,embrião
escrotal,escrotal
concreto,concreto
arbusto,arbusto
abrasividade,abrasividade
acesso,acesso
superfosfato,superfosfato
luminosidade,luminosidade
obesa,obesa
medo,medo
implantar,implantar
macronutriente,macronutriente
inverno,inverno
amniótico,amniótico
mutica,mutica
odor,odor
roliço,roliço
descer,descer
bula,bula
tostar,tostar
grosso,grosso
semiásper,semiásper
reflexo,reflexo
útero,útero
capineiro,capineiro
testículo,testículo
cavalo,cavalo
garupa,garupa
foliar,foliar
chorume,chorume
erosãar,erosãar
alojamento,alojamento
vento,vento
cromo,cromo
lixo,lixo
globulina,globulina
orelha,orelha
ultrassonografia,ultrassonografia
fraco,fraco
unha,unha
garupar,garupar
lacrado,lacrado
diagnosticar,diagnosticar
argila,argila
fóssil,fóssil
sativa,sativa
inalto,inalto
entomopatogênico,entomopatogênico
gênerar,gênerar
parasiticida,parasiticida
cespitoso,cespitoso
magnésio,magnésio
bermuda,bermuda
parasitário,parasitário
rasteiro,rasteiro
helminto,helminto
raspadeira,raspadeira
batoque,batoque
afecção,afecção
mal,mal
comer,comer
ectoparasita,ectoparasita
nariz,nariz
gordo,gordo
placa,placa
perfil,perfil
entressafra,entressafra
gênero,gênero
sintético,sintético
alimento,alimento
segurar,segurar
florir,florir
tropical,tropical
químico,químico
floco,floco
ouvir,ouvir
imunoglobulina,imunoglobulina
derivar,derivar
incubadora,incubadora
adiposo,adiposo
inseminador,inseminador
detergente,detergente
pasteurização,pasteurização
traje,traje
toxicidade,toxicidade
lençol,lençol
micronutriente,micronutriente
fatores,fatores
cerca,cerca
pico,pico
excitabilidade,excitabilidade
solubilização,solubilização
comprimido,comprimido
amônio,amônio
vaca,vaca
meio,meio
cordoalha,cordoalha
ovariano,ovariano
cetose,cetose
gordar,gordar
sapé,sapé
traseiro,traseiro
híbrido,híbrido
erliquiose,erliquiose
arquitetura,arquitetura
carboidrato,carboidrato
galho,galho
órgão,órgão
galpão,galpão
formigo,formigo
capitata,capitata
sol,sol
estressar,estressar
lixiviados,lixiviados
solidificação,solidificação
acrobustite,acrobustite
peletizado,peletizado
aeração,aeração
androgenizadar,androgenizadar
espuma,espuma
sujeira,sujeira
criopreservação,criopreservação
transmissãar,transmissãar
rancificação,rancificação
briga,briga
variação,variação
banho,banho
vacinador,vacinador
arejamento,arejamento
ovariana,ovariana
asfalto,asfalto
concentração,concentração
natalidade,natalidade
cruza,cruza
segura,segura
mineralizado,mineralizado
vácuo,vácuo
dolomítico,dolomítico
pastejo,pastejo
brizanthar,brizanthar
telha,telha
montar,montar
zootécnico,zootécnico
trilha,trilha
examinar,examinar
microelemento,microelemento
carvão,carvão
excremento,excremento
elétrico,elétrico
sobreordenha,sobreordenha
primípara,primípara
anemia,anemia
mole,mole
gear,gear
tricomonose,tricomonose
aquoso,aquoso
componentes,componentes
brizantha,brizantha
bezerreiro,bezerreiro
transmissão,transmissão
parenteral,parenteral
fita,fita
picar,picar
floração,floração
lento,lento
termofosfato,termofosfato
bebedouro,bebedouro
fertilização,fertilização
zebuíno,zebuíno
minerais,minerais
intramamária,intramamária
aeradar,aeradar
sombrear,sombrear
sabor,sabor
fresco,fresco
natural,natural
monta,monta
inflorescência,inflorescência
adulteração,adulteração
congelado,congelado
droga,droga
tremor,tremor
análise,análise
safra,safra
matar,matar
caldeira,caldeira
fígado,fígado
clonagem,clonagem
veneno,veneno
sobrevivência,sobrevivência
chifr,chifr
carbono,carbono
rizoma,rizoma
micoplasmose,micoplasmose
aeróbio,aeróbio
balde,balde
avear,avear
orvalho,orvalho
vermelhinho,vermelhinho
raio,raio
animal,animal
lisina,lisina
cauda,cauda
macho,macho
perfurar,perfurar
arraçoamento,arraçoamento
bigemina,bigemina
enxertar,enxertar
cisticercose,cisticercose
cobertura,cobertura
mau,mau
solto,solto
albumina,albumina
inimigo,inimigo
oral,oral
quarto,quarto
agrotóxico,agrotóxico
grande,grande
fermentação,fermentação
estéril,estéril
bexiga,bexiga
câncer,câncer
canhão,canhão
pasto,pasto
série,série
fítico,fítico
limpo,limpo
respiração,respiração
gás,gás
sobrepeso,sobrepeso
boi,boi
público,público
natura,natura
puro,puro
chá,chá
transição,transição
engorda,engorda
micoplasma,micoplasma
fareladar,fareladar
zebuína,zebuína
rotor,rotor
desrama,desrama
escassez,escassez
desbastar,desbastar
isopor,isopor
infestar,infestar
gargalo,gargalo
aptidão,aptidão
everminação,everminação
rodo,rodo
fotossensibilização,fotossensibilização
delgar,delgar
gordura,gordura
vacar,vacar
ensilar,ensilar
suor,suor
carinho,carinho
fibroso,fibroso
coma,coma
incubar,incubar
efluente,efluente
sombrite,sombrite
furo,furo
semear,semear
adubo,adubo
nlemfuensis,nlemfuensis
quebrar,quebrar
trocar,trocar
porteira,porteira
nitrogênio,nitrogênio
fósforar,fósforar
infértel,infértel
irritação,irritação
vírus,vírus
cetônico,cetônico
cromossomo,cromossomo
incidência,incidência
estria,estria
biberão,biberão
aparentar,aparentar
zebu,zebu
célula,célula
queima,queima
leucocephalar,leucocephalar
nódulo,nódulo
organizar,organizar
textura,textura
cigarra,cigarra
sexar,sexar
ráqul,ráqul
pesagem,pesagem
herbívoro,herbívoro
orgânico,orgânico
forrageira,forrageira
infecçãar,infecçãar
cloro,cloro
proteína,proteína
bom,bom
brachiaria,brachiaria
corrosão,corrosão
congelar,congelar
aveia,aveia
beladona,beladona
potássio,potássio
névoa,névoa
resistente,resistente
lactose,lactose
bronopol,bronopol
dactylon,dactylon
marcação,marcação
fitoterápico,fitoterápico
frutoso,frutoso
obtenção,obtenção
hídrico,hídrico
monocultura,monocultura
subproduto,subproduto
identificar,identificar
prever,prever
linhaça,linhaça
zebuínos,zebuínos
agudo,agudo
holandês,holandês
útil,útil
inflamatório,inflamatório
taxa,taxa
fetal,fetal
arrepiar,arrepiar
ordenhador,ordenhador
álcool,álcool
digerir,digerir
hidratação,hidratação
viral,viral
junto,junto
glândular,glândular
hospedeiro,hospedeiro
proporção,proporção
gayanu,gayanu
líquida,líquida
fase,fase
leguminoso,leguminoso
gossipol,gossipol
pilhar,pilhar
capineira,capineira
pisadura,pisadura
adulto,adulto
emagrece,emagrece
demanda,demanda
comercial,comercial
prepucial,prepucial
nicho,nicho
resíduo,resíduo
glicerinar,glicerinar
armazenamento,armazenamento
diafragma,diafragma
vanádio,vanádio
ensiladeira,ensiladeira
espermograma,espermograma
sexo,sexo
