id,label
rançoso,rançoso
operar,operar
reprodutor,reprodutor
botijo,botijo
gramíneo,gramíneo
fácil,fácil
alvenaria,alvenaria
confinar,confinar
mamadeira,mamadeira
herbicida,herbicida
transmissão,transmissão
gir,gir
terraço,terraço
sugador,sugador
entrar,entrar
via,via
espuma,espuma
forragem,forragem
densidade,densidade
fluido,fluido
progênie,progênie
clonagem,clonagem
análise,análise
luz,luz
zebuína,zebuína
série,série
sucedâneo,sucedâneo
entrada,entrada
colmo,colmo
fermentação,fermentação
prenhe,prenhe
gordura,gordura
vermifugação,vermifugação
bezerreiro,bezerreiro
tóxico,tóxico
encharcamento,encharcamento
estreptococo,estreptococo
sanguíneo,sanguíneo
pequeno,pequeno
equino,equino
risco,risco
tecer,tecer
tolerante,tolerante
vetor,vetor
pedra,pedra
andrológico,andrológico
sabor,sabor
samambaia,samambaia
aproveitar,aproveitar
mililitro,mililitro
orgânico,orgânico
aeróbia,aeróbia
estéril,estéril
dieta,dieta
estressar,estressar
fotossensibilização,fotossensibilização
açúcar,açúcar
respiração,respiração
parte,parte
máquina,máquina
cristalino,cristalino
maneira,maneira
osso,osso
sativa,sativa
arquitetura,arquitetura
crioscopia,crioscopia
órgão,órgão
raço,raço
perder,perder
íom,íom
bebedouro,bebedouro
cobre,cobre
descornar,descornar
motivo,motivo
eficiente,eficiente
clínico,clínico
intestino,intestino
fase,fase
lote,lote
digestão,digestão
farinha,farinha
monta,monta
inseminador,inseminador
morfológico,morfológico
caixa,caixa
ordenhador,ordenhador
regra,regra
junto,junto
brusco,brusco
panicum,panicum
anestro,anestro
aminoácido,aminoácido
espermático,espermático
mocho,mocho
doador,doador
organismo,organismo
leguminoso,leguminoso
coloração,coloração
químico,químico
adubo,adubo
mau,mau
lateral,lateral
casco,casco
vaca,vaca
espécie,espécie
raio,raio
árvore,árvore
oxigênio,oxigênio
pescoço,pescoço
emagrecimento,emagrecimento
orientar,orientar
arborização,arborização
fabricante,fabricante
testar,testar
cítrico,cítrico
rasteiro,rasteiro
vitro,vitro
debilitar,debilitar
casa,casa
pesagem,pesagem
carbono,carbono
aveia,aveia
sol,sol
mão,mão
verme,verme
colhedeira,colhedeira
ventilação,ventilação
raspagem,raspagem
tristeza,tristeza
sistema,sistema
ovino,ovino
pesar,pesar
coccidiose,coccidiose
procedimento,procedimento
puro,puro
mestiço,mestiço
desfolha,desfolha
sintético,sintético
patógeno,patógeno
pasto,pasto
floração,floração
glândular,glândular
inverno,inverno
parâmetro,parâmetro
respiratório,respiratório
verão,verão
colher,colher
florescer,florescer
arbusto,arbusto
pancadar,pancadar
fasciolose,fasciolose
doméstico,doméstico
gear,gear
unidade,unidade
semeadura,semeadura
coliforme,coliforme
certo,certo
fertilização,fertilização
armazenagem,armazenagem
espermatozoide,espermatozoide
replantio,replantio
marcação,marcação
utensílio,utensílio
subclínica,subclínica
boca,boca
prostaglandina,prostaglandina
planejamento,planejamento
galpão,galpão
nebulização,nebulização
fungo,fungo
descendente,descendente
chifre,chifre
prostração,prostração
aproveitamento,aproveitamento
textura,textura
verminose,verminose
lavar,lavar
digerir,digerir
tricomonose,tricomonose
tricros,tricros
quente,quente
vacina,vacina
fenotípico,fenotípico
praga,praga
colheita,colheita
tanchagem,tanchagem
declive,declive
cloreto,cloreto
agressivo,agressivo
hídrico,hídrico
infectar,infectar
aparelho,aparelho
solo,solo
exame,exame
efluente,efluente
albumina,albumina
sobrevivência,sobrevivência
vermífugo,vermífugo
população,população
lagoa,lagoa
sonda,sonda
subterrâneo,subterrâneo
muco,muco
desconforto,desconforto
novilha,novilha
somático,somático
globulina,globulina
olho,olho
ensilar,ensilar
